Android KEY,Ios Key,Android Script Related,iOS script Related,English,French,GERMAN,Italian,Turkish,Spanish
,,,,EN,FR,DE,IT,TR,ES
ac,homeChargePointTableViewCellLabelAC,,,AC,AC,AC,CA,AC,CA
accept,startChargingButtonAccept,,,Accept,Accepter,Ich stimme zu,Accetto,Kabul Ediyorum,Acepto
i_want_to_be_informed_about_the_campaigns,myDetailsLabelCampaigns,,,I want to be informed about the campaigns,Je veux être informé des campagnes,"Wenn Sie zustimmen, können Sie kommerzielle Nachrichten erhalten und Ihre Informationen können an Drittdienstleister weitergegeben werden.","Se consentite, saremo in grado di inviarvi messaggi commerciali e le vostre informazioni potranno essere condivise con terze parti da cui viene ricevuto il servizio.","İzin vermeniz halinde, size ticari ileti gönderebilecek ve bilgileriniz hizmet alınan 3. kişilerle paylaşılabilecektir.","Si permite, se puede enviar mensajes comerciales a usted y sus datos se pueden compartir con terceras que prestan servicios."
i_accept_the_online_sales_contract_agreement,,,,I accept the online selling contract agreement,J'accepte le contrat de vente en ligne,Ich akzeptiere den Kaufvertrag.,Accetto il contratto di vendita,Satış sözleşmesini kabul ediyorum.,Acepto el contrato de venta.
active,,,,Active,Actif,Aktiv,Attivo,Aktif,Activo
details,,,,Details,Des détails,Details,Details,Detaylar,Details
add_payment_method,,,,Add Payment Method,Ajouter une nouvelle carte,Neue Karte hinzufügen,Aggiungere nuova carta,Yeni Kart Ekle,Añadir Tarjeta Nueva
add_new_vehicle,myVehiclesButtonAddVehicle,,,Add New Vehicle,Ajouter un nouveau véhicule,Neues Fahrzeug hinzufügen,Aggiungere nuovo veicolo,Yeni Araç Ekle,Añadir Vehículo Nuevo
address_detail,,,,Address Details,Détails de l'adresse,Adressen Details,Dettagli indirizzo,Adres Detayları,Detalles de Dirección
address,contactUsLabelAddressTitle,,,Address,Adresse,Adresse  ,Indirizzo,Adres,Dirección
address_star,myDetailsLabelTitleAddress,,,Address *,Adresse *,Adresse *,Indirizzo *,Adres *,Dirección *
add_vehicle,addVehicleButtonAddVehicle,,,Add Vehicle,Ajouter un véhicule,Fahrzeug hinzufügen,Aggiungere veicolo,Araç Ekle,Añadir Vehículo
are_you_sure_you_want_delete_this_card,,,,Are you sure you want to delete this card?,Voulez-vous vraiment supprimer cette carte ?,Möchten Sie die ausgewählte Karte wirklich löschen?,Avete sicuro di voler eliminare questa carta?,Seçili kartı silmek istediğinizden emin misiniz?,¿Está seguro de que quiera borrar esta tarjeta?
are_you_sure_you_want_to_delete_this_vehicle,,,,Are you sure you want to delete this vehicle?,Êtes-vous sûr de vouloir supprimer ce véhicule ?,Möchten Sie dieses Fahrzeug wirklich löschen?,Avete sicuro di voler eliminare questo veicolo?,Bu aracı silmek istediğinize emin misiniz?,¿Está seguro de que quiera borrar este vehículo?
available,,,,Available,Disponible,Angemessen,Disponibile,Uygun,Disponible
back,,,,Back,Arrière,Zurück,Dietro,Geri,Atrás
,,,,Basic Package,Forfait Standard,Standardpaket,Pacchetto base,Standart Paket,Paquete básico
book,,,,Book,Faire une réservation,Reservieren,Prenota,Rezervasyon Yap,Reservar
booked,historyTableViewCellLabelBooked,,,Booked,Réservé,Reserviert,È stato prenotato,Rezerve edildi,Reservado
booking_cancelled_by_operator,,,,Booking cancelled by operator.,Réservation annulée par l'opérateur.,Die Reservierung wurde vom Betreiber storniert.,La prenotazione è stata cancellata dall'operatore,Rezervasyon operatör tarafından iptal edildi.,La reserva se canceló por el operador
bookings,,,,Bookings,Réservations,Meine Transaktionen,Le mie prenotazioni,İşlemlerim,Mis reservas
_0,,nt,,%s,%s,%s,%s,%s,%s
cancel,,,,Cancel,Annuler,Abbrechen,Eliminare,İptal,Cancelar
cancel_booking,,,,Cancel Booking,Annuler la réservation,Reservierung stornieren,Eliminare prenotazione,Rezervasyonu iptal et,Cancelar la reserva
cancelled,historyTableViewCellLabelCancelled,,,Cancelled,Annulé,Storniert,È stato eliminato,İptal edildi,Cancelado
card_details,,,,Card Details,Détails de la carte,Kartendetail,Dettagli carta,Kart detayı,Detalles de la Tarjeta
card_number,,,,Card Number,Numéro de carte,Kartennummer *,N.carta,Kart numarası *,Número de la Tarjeta
